# %ECSV 0.9
# ---
# datatype:
# - {name: target, datatype: string}
# - {name: dist, datatype: float32}
# delimiter: ','
# schema: astropy-2.0
target,dist
NGC0647,180.3676878937143
NGC0675,75.00854152228573
NGC0681,24.338260164571427
NGC0693,21.30491961942857
NGC0716,63.85165161542857
NGC0731,55.430963405142855
NGC0741,78.86411596114286
NGC0755,22.837206260571428
NGC0768,98.75966901314287
NGC0774,65.07683060285714
NGC0776,69.44676115942858
NGC0781,48.20096981771428
NGC0787,67.71676701371427
NGC0810,110.38500719257144
NGC0825,47.23232712057143
NGC0833,54.34628895028571
NGC0835,56.93736538057143
NGC0842,54.802843112000005
NGC0873,57.19154851942857
NGC0924,63.17133414514285
NGC0932,58.124081038285716
NGC0938,57.54268149714286
NGC0941,22.37752882514286
NGC0955,20.903600339428575
NGC0962,65.34851263142858
NGC0991,21.183197513714287
NGC1026,59.28919048742856
NGC1041,100.72519222457143
NGC1056,21.959480777714287
NGC1070,57.77055212457143
NGC1094,91.50918161599999
NGC1132,99.02690144628572
NGC1211,45.818639311428576
NGC1324,80.39588918742857
NGC1349,93.31293636285716
NGC1361,75.04294031771428
NGC1542,52.833212581714285
NGC1590,53.80467906057143
NGC1645,68.59342288228571
NGC1656,53.00567718914285
NGC1659,65.309621456
NGC1665,38.829865137714286
NGC1666,39.160504305714284
NGC1667,64.38607369714286
NGC1677,39.26327284628571
NGC2449,69.56724251257143
NGC2480,33.277369026857144
NGC2481,31.629906319428574
NGC2487,69.293763532
NGC2507,64.62173111657142
NGC2513,66.99315155714285
NGC2522,66.57262200457143
NGC2526,64.72608268628571
NGC2530,70.72991324114287
NGC2540,89.09621735657143
NGC2553,66.28553753028571
NGC2554,57.790575303999994
NGC2558,70.65328607371428
NGC2565,49.79165739885715
NGC2572,113.08621110971428
NGC2577,28.888356551428572
NGC2592,27.48134313542857
NGC2595,60.45810776342857
NGC2596,84.56811223942857
NGC2604,29.71773546857143
NGC2623,78.44529779142857
NGC2730,53.68582352114286
NGC2765,53.52337050342857
NGC2906,30.54078226914286
NGC2916,52.327541732
NGC3300,42.94604040114286
NGC3303,88.253104592
NGC3323,73.60653390114285
NGC3451,18.840442736
NGC3605,8.733272289142857
NGC3615,94.295355692
NGC3687,35.77628749028572
NGC3773,15.872305877714286
NGC3815,52.77600960971429
NGC3842,88.90390070800001
NGC3905,81.62752864514285
NGC4003,93.42302106514285
NGC4037,12.994102188571429
NGC4185,54.65391001885714
NGC4211,94.48685943371427
NGC4211NED02,94.35071892742857
NGC4390,14.907428222857142
NGC4415,12.641942381142856
NGC4431,13.029784521142856
NGC4470,33.15962588628572
NGC4479,12.409664942857141
NGC4486B,22.47982673542857
NGC4630,8.921010988571428
NGC4816,98.85807352742857
NGC4841A,96.44699178914284
NGC4866,27.627538016
NGC4874,102.43567660571429
NGC4961,36.62671641657143
NGC5000,79.50969235942857
NGC5016,36.88196916971428
NGC5338,10.476957497714286
NGC5339,38.371428454857146
NGC5423,84.54064454457142
NGC5426,36.447277924
NGC5427,39.081053356571424
NGC5434B,80.40581520799999
NGC5468,40.09748642
NGC5513,71.85215254971429
NGC5519,105.63900025314287
NGC5522,64.77498545142856
NGC5525,78.97907810457143
NGC5532,105.68379569942856
NGC5546,104.952179528
NGC5549,109.44956532285715
NGC5559,73.47428679085715
NGC5576,21.20103868
NGC5587,32.866722710285714
NGC5610,72.01169621657142
NGC5635,61.26596604114285
NGC5657,55.25443426342857
NGC5659,64.137409768
NGC5665,31.783631284571427
NGC5735,53.28758473028571
NGC5845,20.71436418
